"ID","Reef","lat","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"09-253","U/N Reef",-9.9,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-255","U/N Reef",-10,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-256","U/N Reef",-9.9,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-257","Minnie Rock",-10,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-258","U/N Reef",-10,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-259","Ngie Reef",-9.9,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-260","U/N Reef",-10,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-263","U/N Reef",-9.7,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-268","U/N Reef",-9.7,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-269","U/N Reef",-9.7,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-270","Numar Reef",-9.7,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-271","U/N Reef",-9.7,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-276","Tareriar Reefs",-9.9,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-277","U/N Reef",-9.9,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-278","U/N Reef",-9.9,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-279","Anui Reef",-9.9,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-280","U/N Reef",-9.9,0,0.3,3.3,0.9,0.3,1.3,1.3,0.7,0.7,0.3,0,0.5,0,0,0.8,0.8,0,3.2,0.7,0.5,0.5,1.7,4.2,0,2.4,3.1,0.8,3.8,4.5,4.5,4.1,0.7,1.1,1.3,1.3,9,3.1,6.1,7,8.7,4.8,5,5,5.4,7.2
"09-281","Gariar Reef",-9.9,0,0.3,3.2,0.8,0.3,1.2,1.2,0.6,0.6,0.2,0,0.3,0,0,0.6,0.6,0.1,3.4,0.7,0.5,1,1.6,3.9,0,2.4,2.8,0.8,3.6,4.2,4.3,3.8,0.4,0.7,1.3,1.3,8.3,2.9,5.9,6.7,6.9,4,4.9,4.9,4.9,6.1
"09-283","U/N Reef",-9.9,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
